year,month,total_rides_month,average_daily_rides,days_in_month
2014,2,39560253,1412866.1785714286,28
2014,3,44681322,1441332.9677419355,31
2014,4,44275143,1475838.1,30
2014,5,44890930,1448094.5161290322,31
2014,6,42581633,1419387.7666666666,30
2014,7,43399531,1399984.8709677418,31
2014,8,42633798,1375283.8064516129,31
2014,9,45538922,1517964.0666666667,30
2014,10,48081638,1551020.5806451612,31
2014,11,40245141,1341504.7,30
2014,12,40311066,1300356.9677419355,31
2015,1,39396883,1270867.1935483871,31
2015,2,38175732,1363419.0,28
2015,3,44618007,1439290.5483870967,31
2015,4,43631114,1454370.4666666666,30
2015,5,43768715,1411894.0322580645,31
2015,6,44331143,1477704.7666666666,30
2015,7,44827911,1446061.6451612904,31
2015,8,43020311,1387751.9677419355,31
2015,9,45512367,1517078.9,30
2015,10,47711861,1539092.2903225806,31
2015,11,41126103,1370870.1,30
2015,12,39844688,1285312.5161290322,31
2016,1,38915814,1255348.8387096773,31
2016,2,40028364,1380288.4137931035,29
2016,3,43708352,1409946.8387096773,31
2016,4,41505601,1383520.0333333334,30
2016,5,42494882,1370802.6451612904,31
2016,6,42616909,1420563.6333333333,30
2016,7,40886206,1318909.8709677418,31
2016,8,42002966,1354934.3870967743,31
2016,9,43502454,1450081.8,30
2016,10,44733957,1443030.8709677418,31
2016,11,40962525,1365417.5,30
2016,12,36346219,1172458.677419355,31
2017,1,37472144,1208778.8387096773,31
2017,2,37156872,1327031.142857143,28
2017,3,41748832,1346736.5161290322,31
2017,4,38717513,1290583.7666666666,30
2017,5,41830381,1349367.1290322582,31
2017,6,41565618,1385520.6,30
2017,7,39210367,1264850.5483870967,31
2017,8,41562401,1340722.6129032257,31
2017,9,42071436,1402381.2,30
2017,10,43618313,1407042.3548387096,31
2017,11,39319542,1310651.4,30
2017,12,35161804,1134251.7419354839,31
2018,1,36550225,1179039.5161290322,31
2018,2,35089025,1253179.4642857143,28
2018,3,39907384,1287334.9677419355,31
2018,4,38902702,1296756.7333333334,30
2018,5,41086176,1325360.5161290322,31
2018,6,39406306,1313543.5333333334,30
2018,7,39188335,1264139.8387096773,31
2018,8,40573322,1308816.8387096773,31
2018,9,40427642,1347588.0666666667,30
2018,10,44288281,1428654.2258064516,31
2018,11,37995038,1266501.2666666666,30
2018,12,34653521,1117855.5161290322,31
2019,1,33522713,1081377.8387096773,31
2019,2,34635617,1236986.3214285714,28
